"cefalea","escalofrio","hiporexia","odinofagia","exantema","prurito","vomito","altconciencia","edemapar","hepatomeg","rinorrea","hemo","bayes","enfer","san","alpha","beta","hemo.pos.D","hemo.neg.D","hemo.pos.ND","hemo.neg.ND","alpha.secu.1","beta.secu.1","alpha.secu.2","beta.secu.2","bayes.secu.pos","bayes.secu.neg"
1,1,1,1,1,1,1,1,1,1,1,1,0.493568365659565,0,0,1,1,0,0,0,0,1,1,1,1,0.475572329426093,0.485555828640566
1,1,1,1,1,1,1,1,1,1,1,0,0.514273859704379,0,0,1,1,0,0,0,0,1,1,1,1,0.512102212543773,0.50943179737657
1,1,1,1,1,1,1,1,1,1,0,1,0.496535779919242,0,0,1,1,0,0,0,0,1,1,1,1,0.512355786149193,0.499936414965076
1,1,1,1,1,1,1,1,1,1,0,0,0.518197561308043,0,0,1,1,0,0,0,0,1,1,1,1,0.514110122181661,0.498119629051673
1,1,1,1,1,1,1,1,1,0,1,1,0.675400801792051,1,0,2,1,1,0,0,0,2,1,1,1,0.748042729844485,0.571858863646321
1,1,1,1,1,1,1,1,1,0,1,0,0.497823951461585,0,0,1,1,0,0,0,0,1,1,1,1,0.512416735569582,0.476080767873644
1,1,1,1,1,1,1,1,1,0,0,1,0.661999018495409,1,0,2,1,0,1,0,0,1,2,1,1,0.576342741059403,0.715803168487162
1,1,1,1,1,1,1,1,1,0,0,0,0.501421972353943,0,0,1,1,0,0,0,0,1,1,1,1,0.497596706471806,0.497397158795801
1,1,1,1,1,1,1,1,0,1,1,1,0.492183414616389,0,0,1,1,0,0,0,0,1,1,1,1,0.492490501014585,0.472758132956889
1,1,1,1,1,1,1,1,0,1,1,0,0.509982415296603,0,0,1,1,0,0,0,0,1,1,1,1,0.497726011627963,0.498760944534674
1,1,1,1,1,1,1,1,0,1,0,1,0.662197423778751,1,0,2,1,0,1,0,0,1,2,1,1,0.564474299652391,0.723580230602086
1,1,1,1,1,1,1,1,0,1,0,0,0.50805247490108,0,0,1,1,0,0,0,0,1,1,1,1,0.495935686025637,0.506613507961248
1,1,1,1,1,1,1,1,0,0,1,1,0.33411425294446,0,1,1,2,0,0,1,0,1,1,2,1,0.271504758854187,0.427113936346676
1,1,1,1,1,1,1,1,0,0,1,0,0.498741017525783,0,0,1,1,0,0,0,0,1,1,1,1,0.509031473803849,0.504768954495506
1,1,1,1,1,1,1,1,0,0,0,1,0.668532677172073,1,0,2,1,1,0,0,0,2,1,1,1,0.719949581991711,0.54225993791941
1,1,1,1,1,1,1,1,0,0,0,0,0.511291095027933,0,0,1,1,0,0,0,0,1,1,1,1,0.50362036082748,0.512574521537701
1,1,1,1,1,1,1,0,1,1,1,1,0.519399318783544,0,0,1,1,0,0,0,0,1,1,1,1,0.516260869704746,0.52688127081634
1,1,1,1,1,1,1,0,1,1,1,0,0.494100682494929,0,0,1,1,0,0,0,0,1,1,1,1,0.481364168800769,0.491666016606159
1,1,1,1,1,1,1,0,1,1,0,1,0.501253351723077,0,0,1,1,0,0,0,0,1,1,1,1,0.496831051426385,0.492222129192432
1,1,1,1,1,1,1,0,1,1,0,0,0.515794834870845,0,0,1,1,0,0,0,0,1,1,1,1,0.525353728802091,0.497285457072439
1,1,1,1,1,1,1,0,1,0,1,1,0.339947177736109,0,1,1,2,0,0,0,1,1,1,1,2,0.435178419739706,0.27886625134822
1,1,1,1,1,1,1,0,1,0,1,0,0.489747753465315,0,0,1,1,0,0,0,0,1,1,1,1,0.485236646031565,0.487842091081224
1,1,1,1,1,1,1,0,1,0,0,1,0.502228999656625,0,0,1,1,0,0,0,0,1,1,1,1,0.495347468550712,0.507788310340311
1,1,1,1,1,1,1,0,1,0,0,0,0.486145069840597,0,0,1,1,0,0,0,0,1,1,1,1,0.452838043834996,0.471800847526027
1,1,1,1,1,1,1,0,0,1,1,1,0.667044887712666,3,1,4,2,1,2,0,1,2,3,1,2,0.698471007573287,0.632489845445522
1,1,1,1,1,1,1,0,0,1,1,0,0.481430310453288,0,0,1,1,0,0,0,0,1,1,1,1,0.487154226496958,0.466364690126108
1,1,1,1,1,1,1,0,0,1,0,1,0.671803627543264,1,0,2,1,0,1,0,0,1,2,1,1,0.567653538290266,0.721420635478135
1,1,1,1,1,1,1,0,0,1,0,0,0.515112698977813,0,0,1,1,0,0,0,0,1,1,1,1,0.50804519284646,0.515464491505845
1,1,1,1,1,1,1,0,0,0,1,1,0.171471586780454,0,4,1,5,0,0,0,4,1,1,1,5,0.371793672349147,0.11300887969973
1,1,1,1,1,1,1,0,0,0,1,0,0.599965842368844,2,1,3,2,0,2,0,1,1,3,1,2,0.523711220639001,0.627942794573763
1,1,1,1,1,1,1,0,0,0,0,1,0.813991113131598,8,1,9,2,6,2,0,1,7,3,1,2,0.897079103676487,0.6517114320215
1,1,1,1,1,1,1,0,0,0,0,0,0.251964250918593,0,2,1,3,0,0,0,2,1,1,1,3,0.387931338123675,0.186323486579894
1,1,1,1,1,1,0,1,1,1,1,1,0.497335547814378,0,0,1,1,0,0,0,0,1,1,1,1,0.509256973822359,0.491976356966217
1,1,1,1,1,1,0,1,1,1,1,0,0.500119789460674,0,0,1,1,0,0,0,0,1,1,1,1,0.490895758117615,0.492518196124961
1,1,1,1,1,1,0,1,1,1,0,1,0.4960306200583,0,0,1,1,0,0,0,0,1,1,1,1,0.493961446388412,0.498022878913798
1,1,1,1,1,1,0,1,1,1,0,0,0.497787680555368,0,0,1,1,0,0,0,0,1,1,1,1,0.49523946587613,0.496826077415069
1,1,1,1,1,1,0,1,1,0,1,1,0.493154833670938,0,0,1,1,0,0,0,0,1,1,1,1,0.47594159581833,0.490014755501357
1,1,1,1,1,1,0,1,1,0,1,0,0.501323814083589,0,0,1,1,0,0,0,0,1,1,1,1,0.510037132134519,0.503625104148443
1,1,1,1,1,1,0,1,1,0,0,1,0.491106226172764,0,0,1,1,0,0,0,0,1,1,1,1,0.494661360554025,0.497576057847823
1,1,1,1,1,1,0,1,1,0,0,0,0.479770057643531,0,0,1,1,0,0,0,0,1,1,1,1,0.455732931397845,0.484750423800305
1,1,1,1,1,1,0,1,0,1,1,1,0.49916566766426,0,0,1,1,0,0,0,0,1,1,1,1,0.503167633688871,0.498090197524017
1,1,1,1,1,1,0,1,0,1,1,0,0.515945508844918,0,0,1,1,0,0,0,0,1,1,1,1,0.508519334301406,0.53155832618126
1,1,1,1,1,1,0,1,0,1,0,1,0.498541372241685,0,0,1,1,0,0,0,0,1,1,1,1,0.518903578340858,0.499375497283925
1,1,1,1,1,1,0,1,0,1,0,0,0.51532617177628,0,0,1,1,0,0,0,0,1,1,1,1,0.521010881646835,0.501553908247051
1,1,1,1,1,1,0,1,0,0,1,1,0.510754173703259,0,0,1,1,0,0,0,0,1,1,1,1,0.52743560237438,0.504705431312615
1,1,1,1,1,1,0,1,0,0,1,0,0.493735923465108,0,0,1,1,0,0,0,0,1,1,1,1,0.500007302214277,0.484635858851445
1,1,1,1,1,1,0,1,0,0,0,1,0.50811233097245,0,0,1,1,0,0,0,0,1,1,1,1,0.486990487392208,0.509360773763966
1,1,1,1,1,1,0,1,0,0,0,0,0.494309479795396,0,0,1,1,0,0,0,0,1,1,1,1,0.496281245353217,0.484187081930067
1,1,1,1,1,1,0,0,1,1,1,1,0.485989502081648,0,0,1,1,0,0,0,0,1,1,1,1,0.487483173450962,0.485863783289935
1,1,1,1,1,1,0,0,1,1,1,0,0.504487290149555,0,0,1,1,0,0,0,0,1,1,1,1,0.494309826248517,0.516117084731344
1,1,1,1,1,1,0,0,1,1,0,1,0.497777930213138,0,0,1,1,0,0,0,0,1,1,1,1,0.497429923777674,0.519062504933578
1,1,1,1,1,1,0,0,1,1,0,0,0.488933337085182,0,0,1,1,0,0,0,0,1,1,1,1,0.48455678605755,0.489364318137775
1,1,1,1,1,1,0,0,1,0,1,1,0.491698565193219,0,0,1,1,0,0,0,0,1,1,1,1,0.477805895336418,0.504435563405798
1,1,1,1,1,1,0,0,1,0,1,0,0.507596321126912,0,0,1,1,0,0,0,0,1,1,1,1,0.519137521185208,0.505615656656148
1,1,1,1,1,1,0,0,1,0,0,1,0.66370329833232,1,0,2,1,1,0,0,0,2,1,1,1,0.720018905855877,0.565530952227294
1,1,1,1,1,1,0,0,1,0,0,0,0.498315742774168,0,0,1,1,0,0,0,0,1,1,1,1,0.498071193425823,0.487577498651843
1,1,1,1,1,1,0,0,0,1,1,1,0.321642783059222,0,1,1,2,0,0,0,1,1,1,1,2,0.41270917147151,0.268770897888704
1,1,1,1,1,1,0,0,0,1,1,0,0.484405804737937,0,0,1,1,0,0,0,0,1,1,1,1,0.49283239821571,0.473841099192093
1,1,1,1,1,1,0,0,0,1,0,1,0.671955060305775,1,0,2,1,1,0,0,0,2,1,1,1,0.748047745674837,0.567994655769761
1,1,1,1,1,1,0,0,0,1,0,0,0.658395671085807,1,0,2,1,1,0,0,0,2,1,1,1,0.714799004025804,0.587676683528626
1,1,1,1,1,1,0,0,0,0,1,1,0.201235231556932,1,7,2,8,1,0,0,7,2,1,1,8,0.608352527197742,0.0877534632132289
1,1,1,1,1,1,0,0,0,0,1,0,0.425601751889586,2,3,3,4,0,2,2,1,1,3,3,2,0.235789249758578,0.587935443806297
1,1,1,1,1,1,0,0,0,0,0,1,0.54174725633495,5,4,6,5,3,2,2,2,4,3,3,3,0.570675645469814,0.50593192801013
1,1,1,1,1,1,0,0,0,0,0,0,0.83448257507414,4,0,5,1,1,3,0,0,2,4,1,1,0.762100966791495,0.863105699907076
1,1,1,1,1,0,1,1,1,1,1,1,0.494067452072166,0,0,1,1,0,0,0,0,1,1,1,1,0.489540213036284,0.505213808203069
1,1,1,1,1,0,1,1,1,1,1,0,0.50265676622442,0,0,1,1,0,0,0,0,1,1,1,1,0.497676482587732,0.503823803907097
1,1,1,1,1,0,1,1,1,1,0,1,0.512171346622054,0,0,1,1,0,0,0,0,1,1,1,1,0.501521761725031,0.513804081396201
1,1,1,1,1,0,1,1,1,1,0,0,0.502163336349651,0,0,1,1,0,0,0,0,1,1,1,1,0.507916207753785,0.51098828308506
1,1,1,1,1,0,1,1,1,0,1,1,0.490714736534748,0,0,1,1,0,0,0,0,1,1,1,1,0.50166340991332,0.482532503977723
1,1,1,1,1,0,1,1,1,0,1,0,0.514798720198683,0,0,1,1,0,0,0,0,1,1,1,1,0.498439479580165,0.518513822328225
1,1,1,1,1,0,1,1,1,0,0,1,0.522855948747834,0,0,1,1,0,0,0,0,1,1,1,1,0.532362117215553,0.539077626465575
1,1,1,1,1,0,1,1,1,0,0,0,0.508638640567893,0,0,1,1,0,0,0,0,1,1,1,1,0.490777454083169,0.508117835260956
1,1,1,1,1,0,1,1,0,1,1,1,0.505250610996736,0,0,1,1,0,0,0,0,1,1,1,1,0.500350407840859,0.527237424804753
1,1,1,1,1,0,1,1,0,1,1,0,0.506811995095573,0,0,1,1,0,0,0,0,1,1,1,1,0.516111836083728,0.486818415609396
1,1,1,1,1,0,1,1,0,1,0,1,0.501161259735702,0,0,1,1,0,0,0,0,1,1,1,1,0.492109387748029,0.506820935610686
1,1,1,1,1,0,1,1,0,1,0,0,0.503825586319668,0,0,1,1,0,0,0,0,1,1,1,1,0.513916303135881,0.488425161760057
1,1,1,1,1,0,1,1,0,0,1,1,0.477532271467382,0,0,1,1,0,0,0,0,1,1,1,1,0.480638596859848,0.486558415228767
1,1,1,1,1,0,1,1,0,0,1,0,0.504036770220613,0,0,1,1,0,0,0,0,1,1,1,1,0.494540471254977,0.488127833256997
1,1,1,1,1,0,1,1,0,0,0,1,0.48861144818156,0,0,1,1,0,0,0,0,1,1,1,1,0.503721614182744,0.503336402480554
1,1,1,1,1,0,1,1,0,0,0,0,0.513522386822384,0,0,1,1,0,0,0,0,1,1,1,1,0.514841226878368,0.523640247385831
1,1,1,1,1,0,1,0,1,1,1,1,0.495179583229357,0,0,1,1,0,0,0,0,1,1,1,1,0.47379425716101,0.505481089096449
1,1,1,1,1,0,1,0,1,1,1,0,0.515373661147663,0,0,1,1,0,0,0,0,1,1,1,1,0.526470845073254,0.483510984094261
1,1,1,1,1,0,1,0,1,1,0,1,0.511830009925645,0,0,1,1,0,0,0,0,1,1,1,1,0.512311854931715,0.501903711206553
1,1,1,1,1,0,1,0,1,1,0,0,0.501253054191824,0,0,1,1,0,0,0,0,1,1,1,1,0.476177817684185,0.50682593078258
1,1,1,1,1,0,1,0,1,0,1,1,0.320201122295486,0,1,1,2,0,0,0,1,1,1,1,2,0.415682382192272,0.259434543142051
1,1,1,1,1,0,1,0,1,0,1,0,0.510830628030468,0,0,1,1,0,0,0,0,1,1,1,1,0.505993825495294,0.513000187379847
1,1,1,1,1,0,1,0,1,0,0,1,0.670185808758079,1,0,2,1,1,0,0,0,2,1,1,1,0.736462009435094,0.581949240264584
1,1,1,1,1,0,1,0,1,0,0,0,0.49557209630101,0,0,1,1,0,0,0,0,1,1,1,1,0.484613308861437,0.492334172284799
1,1,1,1,1,0,1,0,0,1,1,1,0.483358451546635,0,0,1,1,0,0,0,0,1,1,1,1,0.481962669099534,0.488127526696215
1,1,1,1,1,0,1,0,0,1,1,0,0.336586219447314,0,1,1,2,0,0,0,1,1,1,1,2,0.425986358761861,0.277494988513107
1,1,1,1,1,0,1,0,0,1,0,1,0.503802106842864,0,0,1,1,0,0,0,0,1,1,1,1,0.497330342248965,0.532136422420682
1,1,1,1,1,0,1,0,0,1,0,0,0.500784030067502,0,0,1,1,0,0,0,0,1,1,1,1,0.514920834064757,0.498985226429734
1,1,1,1,1,0,1,0,0,0,1,1,0.496027685008739,1,1,2,2,1,0,0,1,2,1,1,2,0.675246258204367,0.321768785753171
1,1,1,1,1,0,1,0,0,0,1,0,0.462693502966956,4,5,5,6,3,1,1,4,4,2,2,5,0.66686074963268,0.291678202046204
1,1,1,1,1,0,1,0,0,0,0,1,0.501188264608344,1,1,2,2,0,1,0,1,1,2,1,2,0.487603786348206,0.510659429991835
1,1,1,1,1,0,1,0,0,0,0,0,0.399108550838573,1,2,2,3,1,0,0,2,2,1,1,3,0.640216138162862,0.229274542532712
1,1,1,1,1,0,0,1,1,1,1,1,0.48341583028785,0,0,1,1,0,0,0,0,1,1,1,1,0.470426208773205,0.476328029722226
1,1,1,1,1,0,0,1,1,1,1,0,0.490152036239626,0,0,1,1,0,0,0,0,1,1,1,1,0.512019113001906,0.510464412365251
1,1,1,1,1,0,0,1,1,1,0,1,0.507274506264133,0,0,1,1,0,0,0,0,1,1,1,1,0.496089827538893,0.518078511738571
1,1,1,1,1,0,0,1,1,1,0,0,0.493326305829221,0,0,1,1,0,0,0,0,1,1,1,1,0.493595580066851,0.511463466552721
1,1,1,1,1,0,0,1,1,0,1,1,0.482131799251307,0,0,1,1,0,0,0,0,1,1,1,1,0.476518226974211,0.479941674269623
1,1,1,1,1,0,0,1,1,0,1,0,0.503361938842805,0,0,1,1,0,0,0,0,1,1,1,1,0.490503028289995,0.519501713017357
1,1,1,1,1,0,0,1,1,0,0,1,0.490970562944887,0,0,1,1,0,0,0,0,1,1,1,1,0.46800080582999,0.50068865303103
1,1,1,1,1,0,0,1,1,0,0,0,0.484319083395647,0,0,1,1,0,0,0,0,1,1,1,1,0.492930414350802,0.489209474384611
1,1,1,1,1,0,0,1,0,1,1,1,0.493435373963555,0,0,1,1,0,0,0,0,1,1,1,1,0.497669966937731,0.504681148045141
1,1,1,1,1,0,0,1,0,1,1,0,0.501864160506055,0,0,1,1,0,0,0,0,1,1,1,1,0.502420752481206,0.487004508965222
1,1,1,1,1,0,0,1,0,1,0,1,0.518318444230827,0,0,1,1,0,0,0,0,1,1,1,1,0.520837426960297,0.513606467972443
1,1,1,1,1,0,0,1,0,1,0,0,0.489891140931286,0,0,1,1,0,0,0,0,1,1,1,1,0.500469728394672,0.498856743962317
1,1,1,1,1,0,0,1,0,0,1,1,0.513655005466426,0,0,1,1,0,0,0,0,1,1,1,1,0.521326628643205,0.515335080609441
1,1,1,1,1,0,0,1,0,0,1,0,0.488983623855049,0,0,1,1,0,0,0,0,1,1,1,1,0.489334852531553,0.472642058593297
1,1,1,1,1,0,0,1,0,0,0,1,0.498475950898603,0,0,1,1,0,0,0,0,1,1,1,1,0.497936763246239,0.499979496833778
